Date,Registered,Eligible,Total_Copper
2025-12-22,267115.0,199771.0,466886.0
2025-12-23,267053.0,204109.0,471162.0
2025-12-24,282827.0,196713.0,479540.0
2025-12-26,292675.0,190267.0,482942.0
