Date,Registered,Eligible,Combined_Total
2025-12-22,128616735.238,322026750.994,450643486.232
2025-12-23,127214281.97999999,323665783.417,450880065.39699996
2025-12-24,126355549.224,324997136.383,451352685.607
2025-12-26,127624307.27399999,322103422.24099994,449727729.5149999
